symbol;field
HCTR11;'website'
HDOF11;'sector'
HETA4F;'sector'
HFOF11;'website'
HGCR11;'website'
HGFF11;'website'
HGIC11;'sector'
HGPO11;'website'
HGRE11;'website'
HGRU11;'website'
HLOG11;'website'
HMOC11;'website'
HOND34;'sector'
HOOT4F;'sector'
HOSI11;'website'
HPDP11;'website'
HRDF11;'website'
HREC11;'sector'
HSAF11;'sector'
HSLG11;'sector'
HSML11;'website'
HSRE11;'sector'
HTEK11;'sector'
HTMX11;'sector'
HUSC11;'website'
HUSI11;'sector'
HYPE3F;'sector'
I1BN34;'sector'
I1FO34;'sector'
I1HG34;'sector'
I1QY34;'sector'
I1RP34;'state'
I1XC34;'sector'
IB5M11;'sector'
IBCR11;'sector'
IBFF11;'website'
IBOB11;'sector'
IBOV11;'sector'
IDFI11;'sector'
IFCM3F;'sector'
IFRA11;'sector'
IGBR3F;'sector'
IGTI11F;'sector'
IGTI3F;'sector'
IMAB11;'sector'
IMBB11;'sector'
INEP3F;'sector'
INEP4F;'sector'
INGG34;'sector'
INTB3F;'sector'
IRBR3F;'sector'
IRDM11;'website'
IRFM11;'sector'
IRIM11;'sector'
ISUS11;'sector'
ITIP11;'sector'
ITIT11;'website'
ITSA3F;'sector'
ITSA4F;'sector'
ITUB3F;'sector'
ITUB4F;'sector'
IVVB11;'sector'
J1CI34;'state'
J2AZ34;'state'
JALL3F;'sector'
JBFO11;'sector'
JBSS3F;'sector'
JDCO34;'sector'
JFEN3F;'sector'
JFLL11;'sector'
JGPX11;'sector'
JHSF3F;'sector'
JOGO11;'sector'
JOPA3F;'sector'
JOPA4F;'sector'
JPPA11;'website'
JPPC11;'website'
JRDM11;'sector'
JSAF11;'sector'
JSLG3F;'sector'
JSRE11;'website'
JURO11;'sector'
K1BF34;'sector'
K1TC34;'sector'
K2CG34;'sector'
KDIF11;'sector'
KEPL3F;'sector'
KEVE11;'sector'
KFOF11;'website'
KINP11;'website'
KISU11;'sector'
KLBN11F;'sector'
KLBN3F;'sector'
